"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2020","22.60","22.60","22.60","22.60","","49.08%"
"01/26/2020","36.57","36.57","36.57","36.57","","61.81%"
"02/02/2020","28.43","28.43","28.43","28.43","","-22.26%"
"02/09/2020","24.01","24.01","24.01","24.01","","-15.55%"
"02/16/2020","31.37","31.37","31.37","31.37","","30.65%"
"02/23/2020","66.95","66.95","66.95","66.95","","113.42%"
"03/01/2020","54.39","54.39","54.39","54.39","","-18.76%"
"03/08/2020","69.07","69.07","69.07","69.07","","26.99%"
"03/15/2020","69.90","69.90","69.90","69.90","","1.20%"
"03/22/2020","82.11","82.11","82.11","82.11","","17.47%"
"03/29/2020","64.50","64.50","64.50","64.50","","-21.45%"
"04/05/2020","65.46","65.46","65.46","65.46","","1.49%"
"04/12/2020","52.00","52.00","52.00","52.00","","-20.56%"
"04/19/2020","53.27","53.27","53.27","53.27","","2.44%"
"04/26/2020","70.76","70.76","70.76","70.76","","32.83%"
"05/03/2020","54.76","54.76","54.76","54.76","","-22.61%"
"05/10/2020","58.87","58.87","58.87","58.87","","7.51%"
"05/17/2020","57.71","57.71","57.71","57.71","","-1.97%"
"05/24/2020","55.38","55.38","55.38","55.38","","-4.04%"
"05/31/2020","47.79","47.79","47.79","47.79","","-13.71%"
"06/07/2020","60.52","60.52","60.52","60.52","","26.64%"
"06/14/2020","60.65","60.65","60.65","60.65","","0.21%"
"06/21/2020","55.26","55.26","55.26","55.26","","-8.89%"
"06/28/2020","42.75","42.75","42.75","42.75","","-22.64%"
"07/05/2020","29.92","29.92","29.92","29.92","","-30.01%"
"07/12/2020","27.27","27.27","27.27","27.27","","-8.86%"
"07/19/2020","33.27","33.27","33.27","33.27","","22.00%"
"07/26/2020","35.02","35.02","35.02","35.02","","5.26%"
"08/02/2020","25.41","25.41","25.41","25.41","","-27.44%"
"08/09/2020","30.07","30.07","30.07","30.07","","18.34%"
"08/16/2020","24.00","24.00","24.00","24.00","","-20.19%"
"08/23/2020","16.68","16.68","16.68","16.68","","-30.50%"
"08/30/2020","23.82","23.82","23.82","23.82","","42.81%"
"09/06/2020","35.26","35.26","35.26","35.26","","48.03%"
"09/13/2020","32.53","32.53","32.53","32.53","","-7.74%"
"09/20/2020","32.32","32.32","32.32","32.32","","-0.65%"
"09/27/2020","30.67","30.67","30.67","30.67","","-5.11%"
"10/04/2020","28.06","28.06","28.06","28.06","","-8.51%"
"10/11/2020","32.24","32.24","32.24","32.24","","14.90%"
"10/18/2020","35.98","35.98","35.98","35.98","","11.60%"
"10/25/2020","62.23","62.23","62.23","62.23","","72.96%"
"11/01/2020","41.12","41.12","41.12","41.12","","-33.92%"
"11/08/2020","34.44","34.44","34.44","34.44","","-16.25%"
"11/15/2020","41.58","41.58","41.58","41.58","","20.73%"
"11/22/2020","31.89","31.89","31.89","31.89","","-23.30%"
"11/29/2020","26.91","26.91","26.91","26.91","","-15.62%"
