"Date","Price","Open","High","Low","Vol.","Change %"
"10/29/2024","13.83","15.64","16.17","13.66","","-5.27%"
"10/28/2024","14.60","15.45","15.45","13.01","","-3.18%"
"10/25/2024","15.08","12.16","15.80","11.97","","13.98%"
"10/24/2024","13.23","13.38","15.79","12.98","","-5.09%"
"10/23/2024","13.94","12.66","16.25","12.57","","12.33%"
"10/22/2024","12.41","14.10","14.36","11.96","","2.14%"
"10/21/2024","12.15","13.63","13.88","12.15","","-6.11%"
"10/18/2024","12.94","13.44","13.79","12.65","","-3.36%"
"10/17/2024","13.39","15.06","15.45","13.39","","-15.09%"
"10/16/2024","15.77","17.47","17.90","15.68","","-9.05%"
"10/15/2024","17.34","16.83","17.90","16.34","","4.14%"
"10/14/2024","16.65","19.60","19.60","16.62","","-1.83%"
"10/11/2024","16.96","16.84","17.37","16.23","","0.24%"
"10/10/2024","16.92","17.50","17.89","16.28","","-3.86%"
"10/09/2024","17.60","18.46","18.83","17.26","","-5.43%"
"10/08/2024","18.61","19.22","20.19","18.01","","-9.00%"
"10/07/2024","20.45","23.51","23.55","18.20","","81.94%"
"10/04/2024","11.24","12.05","13.60","10.55","","-22.75%"
"10/03/2024","14.55","14.37","16.02","12.89","","5.05%"
"10/02/2024","13.85","15.91","17.68","13.85","","-5.65%"
"10/01/2024","14.68","11.38","16.48","10.95","","34.43%"
"09/30/2024","10.92","13.64","13.64","10.35","","-11.65%"
"09/27/2024","12.36","10.06","12.36","9.76","","14.23%"
"09/26/2024","10.82","10.83","12.09","10.68","","-11.46%"
"09/25/2024","12.22","12.19","13.06","11.75","","-2.00%"
"09/24/2024","12.47","14.24","15.73","12.06","","-13.46%"
"09/23/2024","14.41","17.16","17.16","14.04","","-6.43%"
"09/20/2024","15.40","15.40","16.60","14.66","","-3.27%"
"09/19/2024","15.92","15.80","17.84","15.29","","-21.85%"
"09/18/2024","20.37","20.81","36.79","1.64","","6.82%"
"09/17/2024","19.07","18.48","20.06","17.56","","4.15%"
"09/16/2024","18.31","22.24","22.24","17.57","","4.33%"
"09/13/2024","17.55","18.41","18.87","16.84","","-5.54%"
"09/12/2024","18.58","21.50","22.42","17.81","","-12.56%"
"09/11/2024","21.25","24.84","30.27","20.71","","-16.44%"
"09/10/2024","25.43","24.93","30.19","24.71","","0.00%"
"09/09/2024","25.43","31.52","31.52","23.78","","-13.18%"
"09/06/2024","29.29","21.11","31.63","20.94","","22.96%"
"09/05/2024","23.82","25.31","27.42","22.14","","-9.46%"
"09/04/2024","26.31","25.96","28.28","21.92","","17.40%"
"09/03/2024","22.41","19.65","26.14","16.34","","63.22%"
"08/30/2024","13.73","12.85","15.44","12.39","","-2.90%"
"08/29/2024","14.14","14.11","15.86","13.17","","22.21%"
"08/28/2024","11.57","8.99","12.85","8.69","","34.38%"
"08/27/2024","8.61","9.88","10.61","8.43","","-1.71%"
"08/26/2024","8.76","10.42","10.46","8.49","","-7.69%"
"08/23/2024","9.49","10.96","12.30","8.86","","-21.83%"
"08/22/2024","12.14","11.13","14.17","11.03","","-3.34%"
"08/21/2024","12.56","12.34","14.31","11.73","","6.89%"
"08/20/2024","11.75","11.54","11.96","10.54","","8.20%"
"08/19/2024","10.86","14.35","14.35","10.30","","2.26%"
"08/16/2024","10.62","12.65","12.70","10.39","","-13.09%"
"08/15/2024","12.22","12.52","15.03","12.18","","-14.72%"
"08/14/2024","14.33","16.60","17.28","14.08","","-22.71%"
"08/13/2024","18.54","21.31","22.37","18.20","","-20.43%"
"08/12/2024","23.30","29.45","29.45","20.14","","2.55%"
"08/09/2024","22.72","27.58","29.32","22.32","","-18.68%"
"08/08/2024","27.94","27.81","31.84","26.81","","-13.47%"
"08/07/2024","32.29","25.09","36.96","24.23","","0.22%"
"08/06/2024","32.22","32.86","34.48","25.92","","-18.68%"
"08/05/2024","39.62","76.91","76.91","22.87","","81.33%"
"08/02/2024","21.85","22.09","27.78","19.36","","39.17%"
"08/01/2024","15.70","12.35","17.59","11.59","","31.93%"
"07/31/2024","11.90","12.82","13.38","10.98","","-15.12%"
"07/30/2024","14.02","11.76","14.96","11.56","","21.81%"
"07/29/2024","11.51","13.22","13.22","10.78","","-2.21%"
"07/26/2024","11.77","13.20","13.61","11.77","","-26.07%"
"07/25/2024","15.92","15.24","16.95","12.64","","4.46%"
"07/24/2024","15.24","11.97","16.27","11.85","","65.65%"
"07/23/2024","9.20","9.03","9.45","8.62","","6.36%"
"07/22/2024","8.65","10.69","10.69","8.46","","-13.93%"
